Filename,SPKR,Group
fn000835,n000323,NnA
fn000838,n000324,NnA
fn000840,n000325,NnA
fn000842,n000326,NnA
fn000844,n000327,NnA
fn000846,n000328,NnA
fn000848,n000329,NnA
fn000851,n000330,NnA
fn000853,n000331,NnA
fn000855,n000332,NnA
fn000857,n000333,NnA
fn000860,n000334,NnA
fn000862,n000335,NnA
fn000864,n000336,NnA
fn000866,n000337,NnA
fn000868,n000338,NnA
fn000870,n000339,NnA
fn000873,n000340,NnA
fn000875,n000341,NnA
fn000877,n000342,NnA
fn000879,n000343,NnA
fn000881,n000344,NnA
fn000883,n000345,NnA
fn000885,n000346,NnA
fn000887,n000347,NnA
fn000889,n000348,NnA
fn000891,n000349,NnA
fn000893,n000350,NnA
fn100003,n100001,DOA
fn100012,n100004,DOA
fn100015,n100005,DOA
fn100019,n100007,DOA
fn100022,n100008,DOA
fn100029,n100009,DOA
fn100065,n100015,DOA
fn100068,n100018,DOA
fn100072,n100017,DOA
fn100075,n100019,DOA
fn100079,n100020,DOA
fn100084,n100021,DOA
fn100088,n100022,DOA
fn100091,n100023,DOA
fn100094,n100024,DOA
fn100097,n100025,DOA
fn100131,n100029,DOA
fn100135,n100030,DOA
fn100138,n100031,DOA
fn100141,n100032,DOA
fn100151,n100034,DOA
fn100155,n100035,DOA
fn100158,n100036,DOA
fn100164,n100037,DOA
fn100167,n100038,DOA
fn100173,n100039,DOA
fn100178,n100040,DOA
fn100183,n100042,DOA
fn100186,n100043,DOA
fn100189,n100044,DOA
fn100192,n100045,DOA
fn100193,n100041,DOA
fn100202,n100046,DOA
fn100209,n100047,DOA
fn100213,n100048,DOA
fn100218,n100049,DOA
fn100221,n100050,DOA
fn100224,n100051,DOA
fn100227,n100052,DOA
fn100231,n100053,DOA
fn100234,n100054,DOA
fn100237,n100055,DOA
fn100240,n100056,DOA
fn100244,n100057,DOA
fn100247,n100058,DOA
fn100250,n100059,DOA
fn100254,n100060,DOA
fn100257,n100061,DOA
fn100260,n100062,DOA
fn100263,n100063,DOA
fn100266,n100064,DOA
fn100269,n100065,DOA
fn100272,n100067,DOA
fn100275,n100068,DOA
fn100279,n100069,DOA
fn100283,n100070,DOA
fn100290,n100066,DOA
fn100295,n100072,DOA
fn100298,n100073,DOA
fn100301,n100074,DOA
fn100304,n100075,DOA
fn100307,n100076,DOA
fn100310,n100077,DOA
fn100314,n100078,DOA
fn100317,n100079,DOA
fn100320,n100080,DOA
fn100323,n100081,DOA
fn100327,n100082,DOA
